session_code,title,session_type,url,speakers,abstract,topics,nvidia_technologies
S81595,GTC 2026 Keynote [S81595],Keynote,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81595/,"Jensen Huang (Founder and CEO, NVIDIA)","In this keynote, NVIDIA founder and CEO Jensen Huang looks ahead to the future of accelerated computing and AI, and how they will shape the next era of computing across every industry.",All Industries,
S81703,NVIDIA NeMo Guardrails と Amazon Bedrock による AI ガードレール構築と検知性能評価 [S81703],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81703/,"松井 凌 (データ戦略推進部 データサイエンス2課 スペシャリスト, 株式会社　村田製作所)",本講演では、NVIDIA NeMo Guardrails と Amazon Bedrock を用いて生成 AI アプリケーションにガードレールを実装し、有害コンテンツに対する検知性能をどのように評価・改善していくかを、実例とともに紹介します。言語間（英語・日本語）の違いや、検知率と誤検知率のバランスといった複数の観点から検知性能を比較し、安全性と利便性のバランスを意識した評価プロセスの具体例を共有します。,Manufacturing,NeMo
S81827,NVIDIA NeMo を活用した半導体領域知識を組み込む小規模 LLM のファインチューニング [S81827],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81827/,"西口 賢弥 (データサイエンティスト, 東京エレクトロン株式会社)","本セッションでは、半導体製造装置の立ち上げ・保守作業などの支援を目的としたLLMのチューニング方法をご紹介します。NVIDIAが公開しているオープンソースの合成ペルソナデータセットであるNemotron-Personas-USA, Nemotron-Personas-Japanと合成データ生成ツールであるNVIDIA NeMo Data Designerを活用した独自データセットの構築から、NVIDIA NeMoを用いたモデルチューニングまでのプロセスを紹介し、製造業におけるAI活用の可能性を探求します。",Manufacturing,"Hopper, NeMo"
S81963,NVIDIAソフトウェアとの統合により進化する富士通の自律型AIプラットフォーム [S81963],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81963/,"中島 耕太 (富士通研究所 コンピューティング研究所 所長 博士（工学）, 富士通株式会社)",本講演では、富士通の自律型AIプラットフォーム「Kozuchi AI プラットフォーム」に対し、NVIDIAの多様なソフトウェア（NVIDA NeMo、NVIDA NIM、NVIDA Blueprints、NVIDA Metropolis など）をどのようにマッピング・統合することで、プラットフォーム全体の機能性や拡張性、そして適用可能なユースケースのカバー範囲がどのように進化しているのかを、全体アーキテクチャと具体的な取り組みを交えて解説します。AIプラットフォームが単体技術の集合から、学習・推論・AIエージェント構築・運用までを一体で支える基盤へと進化する中、ソフトウェアスタック全体を俯瞰した設計思想と統合アプローチを理解することは、AIを実業務で活用する上で極めて重要だからです。 Kozuchi AI プラットフォームでは、富士通独自のTakaneやマルチAIエージェント技術、セキュリティ機能を中核に据えつつ、NVIDIA NeMo によるモデル学習・カスタマイズ、NIM による推論およびデプロイ環境の標準化、Blueprint を活用したエージェント構築と最適化を組み合わせることで、信頼性と運用性を兼ね備えた自律型AI基盤の実現を目指しています。この構成は性能向上にとどまらず、AIの再利用性、スケーラビリティ、ガバナンスといった実装・運用上の課題に対応するためにも不可欠です。 特に本講演では、NVIDIA AI Blueprint for video search and summarization（VSS）の取り組みに焦点を当て、映像データを起点とした自律型AIエージェントの実装と進化を紹介します。製造現場や物流、公共空間などで生成される膨大な映像データを、VSS blueprint と Metropolis を連携させて検索・要約・理解し、業務知識やルールと結び付けて判断や提案へとつなげるアプローチは、現場AIの実用化を大きく前進させるためです。,All Industries,"TensorRT, Riva, Metropolis, NeMo, NVIDIA NIM, Blueprint, Dynamo"
S82285,Ozaki Scheme: Addressing the Accuracy Challenge in the Era of Low-Precision Accelerators [S82285],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82285/,"Katsuhisa Ozaki (Professor, Shibaura Institute of Technology)","This talk explores the Ozaki Scheme, including its two variants, as a practical approach for recovering high accuracy from low-precision computations in numerical linear algebra. Participation is important as it sheds light on how we can effectively respond to the accuracy challenges posed by next-generation accelerator architectures.",HPC / Scientific Computing,cuBLAS
S81896,VLM・VSSによる現場の安全性向上と作業効率向上の実現 [S81896],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81896/,"大原 辰徳 (主任技師, 日立ビルシステム)",本セッションでは、現場の安全性確保と業務効率向上を同時に実現するため、視覚言語モデル(VLM)・要約技術（VSS）を活用した最新のアプローチを探求します。ウェアラブルデバイスを用いて、危険な動作や手順ミスのリアルタイム検知から技能継承に至るまで、現場の課題に対する具体的な技術手法を深く掘り下げます。,Manufacturing,"Jetson, Metropolis, Blueprint"
S81884,オールフォトニクスネットワークとNVIDIA DynamoによるAIエージェント向けプラットフォームの最適化手法 [S81884],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81884/,"Kota Tsuyuzaki (イノベーションセンター テクノロジー部門 担当課長 エンジニアリングマネージャー, NTTドコモビジネス株式会社); 田仲 顕至 (Research Engineer, NTT 株式会社)","参加者は、Dynamo と LMCache、NIXLを用いて 1,000 km 超にわたり KV キャッシュを共有し、分散データセンター間で大規模言語モデル（LLM）推論をスケールさせる方法を学びます。複数サイトの GPU クラスタや LLM サービスを運用する参加者にとって、本セッションは、分散データセンター間のサイロを解消しつつ、低遅延かつ省電力なサイト間推論を実現する実践的なアーキテクチャを提示する点で重要です。",Manufacturing,"DOCA, Dynamo, NIXL"
S81893,次世代GPU基盤の実力とサービス価値 NVIDIA HGX B300とNVIDIA Spectrum-Xがもたらす変化 [S81893],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81893/,"多田 善樹 (システム本部 IaaSチーム, GMOインターネット株式会社)",本セッションでは、GMO GPUクラウドに新しく導入したHGX B300とSpectrum-Xを組み合わせた次世代GPU基盤について、どれだけ性能が変わったのかをベンチマークを通じて分かりやすくお伝えします。 また、こうした性能向上が、学習時間の短縮やコストの抑制、安定したGPUの提供といった形で、実際にサービスをご利用いただく皆さまにどんなメリットを生むのか、という点にも触れたいと思います。 技術的な進化とサービス価値の両面から、次世代GPUクラウドの可能性を共有します。,Cloud Services,"HGX, Interconnect Networking, Blackwell"
S81667,How Open World Models are Powering the Next Breakthroughs in Physical AI [S81667],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81667/,"Ming-Yu Liu (VP Generative AI Research, NVIDIA)","NVIDIA Cosmos world foundation models are transforming the future of physical AI, enabling reasoning and generating photoreal data for machines and AI agents to learn to perceive, understand, and adapt to real-world complexity. Learn how developers can use Cosmos open models and tools to accelerate training, customize pipelines, and deploy faster across robotics, autonomous vehicles, and AI agents. This session will also explore how the latest updates for Cosmos advance physics-aware learning, unlock powerful simulation-to-real capabilities, and empower developers to build the next generation of intelligent, adaptive AI systems.",All Industries,Cosmos
S81789,Open-Source AI Shaping the Next Era of Intelligent Digital Workers [S81789],Talks or Panels,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81789/,"Justin Boitano (VP of Enterprise and Edge Computing, NVIDIA); Kari Briski (VP AI Software Product Management, NVIDIA)","Open-source AI is redefining how we build and scale intelligence. In this session, we explore how AI factories unlock a new generation of digital workers who learn continuously, collaborate with humans, and drive breakthroughs across every industry.",All Industries,"NeMo, NVIDIA NIM"
